fan
id,AUC,pAUC,Optimal Threshold,F1 Score at Optimal Threshold,Confusion Matrix
01,0.9996932515337423,0.9983855343881176,0.0028779777,0.9938271604938271,"[[1.0, 0.0], [0.012269938650306749, 0.9877300613496932]]"
03,0.9614944134078213,0.8887092031755366,1.2755313e-05,0.9155555555555556,"[[0.92, 0.08], [0.13687150837988826, 0.8631284916201117]]"
05,0.8769354117925396,0.85041070645384,0.006321909,0.8249158249158249,"[[1.0, 0.0], [0.2979942693409742, 0.7020057306590258]]"
Average,0.9460410255780344,0.9125018146724981

pump
id,AUC,pAUC,Optimal Threshold,F1 Score at Optimal Threshold,Confusion Matrix
01,0.9987931034482759,0.9936479128856623,0.0011244648,0.9785407725321889,"[[0.97, 0.03], [0.017241379310344827, 0.9827586206896551]]"
03,0.9319469026548673,0.8048439683278994,7.831743e-05,0.8699551569506726,"[[0.87, 0.13], [0.1415929203539823, 0.8584070796460177]]"
05,0.9656250000000001,0.8525042444821732,0.00017760607,0.9382716049382716,"[[0.9, 0.1], [0.08064516129032258, 0.9193548387096774]]"
Average,0.9654550020343811,0.8836653752319116

slider
id,AUC,pAUC,Optimal Threshold,F1 Score at Optimal Threshold,Confusion Matrix
01,0.9911797752808988,0.9535777646363098,0.013236038,0.9777777777777777,"[[0.94, 0.06], [0.011235955056179775, 0.9887640449438202]]"
03,0.8605337078651686,0.6564163217031342,1.1324818e-05,0.8273809523809523,"[[0.81, 0.19], [0.21910112359550563, 0.7808988764044944]]"
05,0.991123595505618,0.9532820816085157,2.4318399e-05,0.969187675070028,"[[0.94, 0.06], [0.028089887640449437, 0.9719101123595506]]"
Average,0.9476123595505618,0.8544253893159865

valve
id,AUC,pAUC,Optimal Threshold,F1 Score at Optimal Threshold,Confusion Matrix
01,0.9998333333333334,0.9991228070175439,0.3051071,0.9916666666666667,"[[0.99, 0.01], [0.008333333333333333, 0.9916666666666667]]"
03,1.0,1.0,0.4270366,0.99581589958159,"[[1.0, 0.0], [0.008333333333333333, 0.9916666666666667]]"
05,0.9269125,0.8107894736842105,0.010471756,0.8922237380627558,"[[0.94, 0.06], [0.1825, 0.8175]]"
Average,0.9755819444444445,0.9366374269005847

Average,0.9586725829018554,0.8968075015302452

